experiment,slice,metric,k,value
two_tower_neural:listmle,random,mrr,10,0.4497203137750401
two_tower_neural:listmle,random,map,10,0.3385555687172602
two_tower_neural:listmle,random,recall,10,0.6235489220563848
two_tower_neural:listmle,random,ndcg,20,0.4898184547073371
two_tower_neural:listmle,random,mrr,20,0.457398904438667
two_tower_neural:listmle,random,map,20,0.354896218139695
two_tower_neural:listmle,random,recall,20,0.7678275290215588
two_tower_neural:listmle,hard,ndcg,5,0.11162458072424457
two_tower_neural:listmle,hard,mrr,5,0.13148148148148148
two_tower_neural:listmle,hard,map,5,0.07676893311221669
two_tower_neural:listmle,hard,recall,5,0.1517412935323383
two_tower_neural:listmle,hard,ndcg,10,0.16213885631956157
two_tower_neural:listmle,hard,mrr,10,0.15459804153834006
two_tower_neural:listmle,hard,map,10,0.09845514491036879
two_tower_neural:listmle,hard,recall,10,0.2810945273631841
two_tower_neural:listmle,hard,ndcg,20,0.21280313010926102
two_tower_neural:listmle,hard,mrr,20,0.16824974225510245
two_tower_neural:listmle,hard,map,20,0.11431696467893193
two_tower_neural:listmle,hard,recall,20,0.4444444444444444
two_tower_neural:listmle,cold,ndcg,5,0.4638218545035181
two_tower_neural:listmle,cold,mrr,5,0.5176265270506109
two_tower_neural:listmle,cold,map,5,0.38534031413612563
two_tower_neural:listmle,cold,recall,5,0.5471204188481675
two_tower_neural:listmle,cold,ndcg,10,0.5185236621931377
two_tower_neural:listmle,cold,mrr,10,0.5339794731155988
two_tower_neural:listmle,cold,map,10,0.4136946314302335
two_tower_neural:listmle,cold,recall,10,0.6858638743455497
two_tower_neural:listmle,cold,ndcg,20,0.5641777706407504
two_tower_neural:listmle,cold,mrr,20,0.5403249985479736
two_tower_neural:listmle,cold,map,20,0.43182239611777806
two_tower_neural:listmle,cold,recall,20,0.8298429319371727
two_tower_neural:listmle,active,ndcg,5,0.34751377791204796
two_tower_neural:listmle,active,mrr,5,0.39243527508090614
two_tower_neural:listmle,active,map,5,0.26939724919093855
two_tower_neural:listmle,active,recall,5,0.4368932038834951
two_tower_neural:listmle,active,ndcg,10,0.41087995140305017
two_tower_neural:listmle,active,mrr,10,0.4106584219448297
two_tower_neural:listmle,active,map,10,0.3037216828478964
two_tower_neural:listmle,active,recall,10,0.5946601941747572
two_tower_neural:listmle,active,ndcg,20,0.45534605338869166
two_tower_neural:listmle,active,mrr,20,0.41895501129576024
two_tower_neural:listmle,active,map,20,0.31923383951393314
two_tower_neural:listmle,active,recall,20,0.7390776699029126
two_tower_neural:listnet,random,ndcg,5,0.38677309324739056
two_tower_neural:listnet,random,mrr,5,0.4475400773908237
two_tower_neural:listnet,random,map,5,0.3091487009397457
two_tower_neural:listnet,random,recall,5,0.4635157545605307
two_tower_neural:listnet,random,ndcg,10,0.45383981890687275
two_tower_neural:listnet,random,mrr,10,0.4674991444891943
two_tower_neural:listnet,random,map,10,0.34491793677117055
two_tower_neural:listnet,random,recall,10,0.6310116086235489
two_tower_neural:listnet,random,ndcg,20,0.5005597018048639
two_tower_neural:listnet,random,mrr,20,0.47485580535250915
two_tower_neural:listnet,random,map,20,0.36231349169647226
two_tower_neural:listnet,random,recall,20,0.7810945273631841
two_tower_neural:listnet,hard,ndcg,5,0.19319553088331706
two_tower_neural:listnet,hard,mrr,5,0.23573797678275288
two_tower_neural:listnet,hard,map,5,0.13934494195688227
two_tower_neural:listnet,hard,recall,5,0.2462686567164179
two_tower_neural:listnet,hard,ndcg,10,0.25442854589052927
two_tower_neural:listnet,hard,mrr,10,0.26069454315722973
two_tower_neural:listnet,hard,map,10,0.16782061912658927
two_tower_neural:listnet,hard,recall,10,0.4013266998341625
two_tower_neural:listnet,hard,ndcg,20,0.3142989503528738
two_tower_neural:listnet,hard,mrr,20,0.27426467666752313
two_tower_neural:listnet,hard,map,20,0.18781316959004374
two_tower_neural:listnet,hard,recall,20,0.5945273631840796
two_tower_neural:listnet,cold,ndcg,5,0.4668077691652839
two_tower_neural:listnet,cold,mrr,5,0.5275741710296683
two_tower_neural:listnet,cold,map,5,0.38699825479930194
two_tower_neural:listnet,cold,recall,5,0.5471204188481675
two_tower_neural:listnet,cold,ndcg,10,0.5365743041438481
two_tower_neural:listnet,cold,mrr,10,0.5451986204604006
two_tower_neural:listnet,cold,map,10,0.4253189146513754
two_tower_neural:listnet,cold,recall,10,0.7225130890052356
two_tower_neural:listnet,cold,ndcg,20,0.5711225276168898
two_tower_neural:listnet,cold,mrr,20,0.5490253666947134
two_tower_neural:listnet,cold,map,20,0.4385794277250764
two_tower_neural:listnet,cold,recall,20,0.8350785340314136
two_tower_neural:listnet,active,ndcg,5,0.349669639120406
two_tower_neural:listnet,active,mrr,5,0.41043689320388355
two_tower_neural:listnet,active,map,5,0.27305825242718446
two_tower_neural:listnet,active,recall,5,0.42475728155339804
two_tower_neural:listnet,active,ndcg,10,0.41548475414895447
two_tower_neural:listnet,active,mrr,10,0.4314782709200185
two_tower_neural:listnet,active,map,10,0.3076446678995223
